,All people aged 16 and over,Single (never married or never registered a same-sex civil partnership),Married,In a registered same-sex civil partnership,Separated (but still legally married or still legally in a same-sex civil partnership),Divorced or formerly in a same-sex civil partnership which is now legally dissolved,Widowed or surviving partner from a same-sex civil partnership
S01007237,608,180,316,0,16,41,55
S01007238,778,209,423,0,16,57,73
S01007239,745,152,420,0,22,56,95
S01007240,463,124,260,0,12,43,24
S01007241,507,118,315,0,8,37,29
S01007242,833,191,483,4,12,65,78
S01007243,504,131,297,0,10,29,37
S01007244,620,133,407,0,11,36,33
S01007245,583,145,311,1,18,57,51
S01007246,473,93,304,0,17,42,17
S01007247,530,114,331,0,19,35,31
S01007248,643,126,434,0,9,28,46
S01007249,371,86,212,0,12,19,42
S01007250,716,271,287,1,20,70,67
S01007251,422,112,197,0,7,51,55
S01007252,642,215,319,0,20,42,46
S01007253,687,148,437,0,14,37,51
S01007254,679,249,262,1,27,58,82
S01007255,613,235,237,0,29,73,39
S01007256,647,243,250,0,20,72,62
S01007257,486,198,176,0,25,60,27
S01007258,733,218,347,3,21,59,85
S01007259,722,275,249,0,18,89,91
S01007260,719,299,276,0,27,71,46
S01007261,683,147,412,0,10,57,57
S01007262,585,195,282,0,17,44,47
S01007263,653,172,335,0,12,70,64
S01007264,663,158,368,0,25,40,72
S01007265,902,289,398,0,38,82,95
S01007266,569,175,285,0,19,45,45
S01007267,439,98,275,1,17,29,19
S01007268,496,132,290,0,15,29,30
S01007269,440,94,275,0,9,29,33
S01007270,384,105,199,2,6,44,28
S01007271,836,233,435,0,22,50,96
S01007272,672,264,256,2,26,57,67
S01007273,547,164,282,0,20,51,30
S01007274,717,257,259,0,33,71,97
S01007275,499,116,287,0,6,27,63
S01007276,678,185,363,1,22,58,49
S01007277,637,142,391,2,9,37,56
S01007278,449,90,286,2,12,29,30
S01007279,466,108,277,2,18,33,28
S01007280,445,120,241,6,18,36,24
S01007281,805,255,414,2,24,69,41
S01007282,436,127,232,0,14,42,21
S01007283,866,158,526,2,19,59,102
S01007284,702,200,342,0,18,60,82
S01007285,724,185,416,2,5,57,59
S01007286,787,267,354,2,33,62,69
S01007287,523,178,240,0,16,48,41
S01007288,487,129,285,0,11,35,27
S01007289,674,168,408,0,11,41,46
S01007290,515,212,215,2,26,47,13
S01007291,583,200,232,1,20,59,71
S01007292,632,167,360,0,18,37,50
S01007293,577,253,203,2,30,58,31
S01007294,745,260,345,4,24,56,56
S01007295,432,212,79,0,19,67,55
S01007296,519,279,106,0,22,70,42
S01007297,783,309,337,2,27,58,50
S01007298,437,140,186,2,17,35,57
S01007299,733,313,261,0,32,67,60
S01007300,411,157,156,2,15,45,36
S01007301,626,124,382,3,17,40,60
S01007302,512,159,253,0,7,42,51
S01007303,779,190,429,2,13,55,90
S01007304,584,131,344,0,10,39,60
S01007305,608,144,378,0,10,42,34
S01007306,612,148,338,2,15,57,52
S01007307,663,156,392,3,20,44,48
S01007308,686,194,345,4,20,63,60
S01007309,550,148,301,0,16,47,38
S01007310,686,153,403,2,20,59,49
S01007311,653,208,303,0,22,58,62
S01007312,626,127,378,0,24,41,56
S01007313,826,182,490,4,18,66,66
S01007314,528,144,287,0,18,49,30
S01007315,781,250,377,1,25,68,60
S01007316,733,266,278,2,33,81,73
S01007317,530,169,246,1,29,46,39
S01007318,475,125,242,0,16,51,41
S01007319,632,196,300,0,22,40,74
S01007320,640,151,363,3,19,47,57
S01007321,528,136,326,2,6,27,31
S01007322,634,213,265,2,28,62,64
S01007323,394,103,191,0,14,41,45
S01007324,290,71,148,2,5,27,37
S01007325,685,168,354,3,31,69,60
S01007326,659,175,383,0,16,37,48
S01007327,657,239,274,0,20,58,66
S01007328,713,241,305,0,31,57,79
S01007329,568,147,311,2,15,44,49
S01007330,690,128,403,3,24,55,77
S01007331,815,229,441,0,22,72,51
S01007332,435,115,248,2,11,21,38
S01007333,688,166,355,0,17,70,80
S01007334,591,225,191,2,20,75,78
S01007335,667,248,286,0,16,50,67
S01007336,458,215,128,1,23,50,41
S01007337,562,188,205,4,16,60,89
S01007338,606,180,318,0,16,39,53
S01007339,527,117,285,0,17,39,69
S01007340,404,112,176,3,25,34,54
S01007341,654,134,361,1,20,54,84
S01007342,724,159,434,0,16,39,76
S01007343,569,116,353,0,9,39,52
S01007344,394,90,180,0,18,49,57
S01007345,454,195,116,0,17,67,59
S01007346,487,191,123,0,20,89,64
S01007347,543,184,201,0,15,73,70
S01007348,491,156,199,1,24,41,70
S01007349,340,107,171,0,14,28,20
S01007350,506,157,196,0,24,57,72
S01007351,592,127,324,1,16,56,68
S01007352,442,97,267,4,11,34,29
S01007353,538,120,323,0,13,42,40
S01007354,707,142,401,0,20,64,80
S01007355,854,157,503,2,27,82,83
S01007356,625,140,364,2,25,53,41
S01007357,681,146,381,0,25,48,81
S01007358,765,226,396,2,27,55,59
S01007359,668,199,319,0,24,64,62
S01007360,481,91,293,0,18,35,44
S01007361,884,220,438,0,30,94,102
S01007362,659,173,334,0,16,55,81
S01007363,608,119,333,2,11,64,79
S01007364,687,262,225,0,38,104,58
S01007365,392,114,181,0,14,42,41
S01007366,398,121,139,2,16,53,67
S01007367,474,146,196,0,21,65,46
S01007368,404,174,145,0,12,40,33
S01007369,628,198,291,0,27,77,35
S01007370,640,268,203,2,32,94,41
S01007371,563,170,260,4,27,52,50
S01007372,759,185,407,0,18,46,103
S01007373,536,113,322,2,11,42,46
S01007374,435,122,250,0,8,34,21
S01007375,406,101,233,0,14,29,29
S01007376,688,236,297,0,28,70,57
S01007377,553,105,357,4,20,37,30
S01007378,1367,944,311,2,26,59,25
S01007379,405,107,192,0,14,29,63
S01007380,448,127,226,0,20,44,31
S01007381,423,72,282,0,7,23,39
S01007382,534,132,296,0,24,38,44
S01007383,637,150,377,0,14,47,49
S01007384,611,154,354,1,22,37,43
S01007385,729,190,393,0,18,53,75
S01007386,684,122,467,0,18,30,47
S01007387,664,122,469,0,11,19,43
S01007388,572,136,384,0,9,14,29
S01007389,388,104,229,0,20,34,1
S01007390,363,103,195,0,10,43,12
S01007391,487,97,331,2,5,26,26
S01007392,413,71,262,0,4,32,44
S01007393,665,146,345,0,16,24,134
S01007394,559,139,273,0,20,36,91
S01007395,714,301,188,2,44,100,79
S01007396,691,273,213,0,37,78,90
S01007397,794,207,441,0,19,52,75
S01007398,515,211,185,2,25,52,40
S01007399,503,245,138,0,30,67,23
S01007400,605,158,295,0,15,57,80
S01007401,570,151,315,0,17,40,47
S01007402,521,115,312,0,12,28,54
S01007403,551,94,403,0,18,17,19
S01007404,371,83,198,2,11,40,37
S01007405,550,125,338,2,18,39,28
S01007406,521,106,342,2,9,28,34
S01007407,598,139,363,0,13,33,50
S01007408,484,153,240,0,16,35,40
S01007409,614,160,306,0,24,54,70
S01007410,541,195,222,0,20,60,44
S01007411,699,256,234,0,30,111,68
S01007412,396,113,191,0,10,36,46
S01007413,721,206,409,2,22,52,30
S01007414,525,126,339,4,19,25,12
S01007415,677,198,317,0,27,76,59
S01007416,423,187,160,2,22,36,16
S01007417,793,184,508,0,25,51,25
S01007418,534,177,231,0,26,54,46
S01007419,650,286,239,2,30,63,30
S01007420,1283,651,441,9,37,119,26
S01007421,524,144,288,0,20,41,31
S01007422,492,135,220,4,20,48,65
S01007423,600,174,322,0,16,54,34
S01007424,673,133,439,0,12,45,44
S01007425,724,179,440,0,24,48,33
S01007426,543,181,207,0,29,64,62
S01007427,550,167,260,0,22,52,49
S01007428,749,244,307,2,36,72,88
S01007429,601,212,270,0,22,61,36
S01007430,395,106,211,0,11,38,29
S01007431,478,124,293,2,7,27,25
S01007432,708,190,376,0,30,51,61
S01007433,659,149,394,0,15,51,50
S01007434,402,177,134,0,19,51,21
S01007435,574,197,248,0,23,55,51
S01007436,543,215,155,4,27,83,59
S01007437,370,142,128,0,20,51,29
S01007438,572,174,274,1,20,52,51
S01007439,600,164,314,2,26,38,56
S01007440,539,143,271,0,17,55,53
S01007441,462,86,321,0,10,32,13
S01007442,418,83,284,0,4,23,24
S01007443,758,194,432,0,16,42,74
S01007444,773,137,475,0,20,60,81
S01007445,505,78,342,2,10,31,42
S01007446,422,81,279,0,10,23,29
S01007447,411,66,295,2,8,15,25
S01007448,736,162,449,2,22,52,49
S01007449,821,281,393,2,22,68,55
S01007450,598,225,224,2,28,62,57
S01007451,524,141,283,0,17,36,47
S01007452,414,149,201,0,16,22,26
S01007453,458,138,274,2,14,23,7
S01007454,418,129,216,1,9,36,27
S01007455,677,251,269,0,32,79,46
S01007456,702,272,237,0,33,81,79
S01007457,870,270,425,0,40,78,57
S01007458,443,104,269,2,11,21,36
S01007459,551,123,308,0,14,36,70
S01007460,619,175,306,0,27,60,51
S01007461,568,244,167,0,29,82,46
S01007462,661,262,263,0,40,63,33
S01007463,721,315,239,2,25,95,45
S01007464,548,184,236,1,21,61,45
S01007465,594,282,177,0,35,66,34
S01007466,851,393,207,0,44,147,60
S01007467,824,279,327,3,40,86,89
S01007468,607,161,358,0,26,33,29
S01007469,465,147,229,0,19,42,28
S01007470,572,220,215,2,24,57,54
S01007471,382,120,199,0,7,27,29
S01007472,458,169,176,0,12,49,52
S01007473,370,131,161,0,15,41,22
S01007474,445,102,285,0,5,26,27
S01007475,491,150,267,0,16,33,25
S01007476,565,115,342,0,16,33,59
S01007477,437,118,224,0,19,43,33
S01007478,751,235,331,0,28,73,84
S01007479,458,157,207,3,21,40,30
S01007480,609,189,315,2,22,59,22
S01007481,740,138,470,2,17,29,84
S01007482,408,100,175,0,12,42,79
S01007483,629,197,293,0,21,57,61
S01007484,470,159,184,1,25,58,43
S01007485,359,182,102,0,12,45,18
S01007486,382,176,102,0,14,55,35
S01007487,763,324,233,2,33,96,75
S01007488,838,287,365,0,22,98,66
S01007489,725,202,369,0,14,59,81
S01007490,757,213,365,0,13,71,95
S01007491,886,322,355,1,38,88,82
S01007492,597,159,306,0,10,67,55
S01007493,677,207,338,0,19,60,53
S01007494,448,109,263,4,10,31,31
S01007495,677,148,437,0,14,40,38
S01007496,882,199,513,0,21,71,78
S01007497,481,116,275,0,10,42,38
S01007498,737,152,388,2,27,70,98
S01007499,687,199,375,4,21,45,43
S01007500,516,116,286,0,14,47,53
S01007501,598,105,378,4,13,37,61
S01007502,447,110,239,4,13,40,41
S01007503,870,195,505,0,19,75,76
S01007504,588,171,298,0,21,47,51
S01007505,346,90,193,0,10,32,21
S01007506,426,85,265,1,10,30,35
S01007507,793,224,392,4,22,68,83
S01007508,604,150,339,0,8,56,51
S01007509,528,123,313,0,12,37,43
S01007510,862,177,493,0,18,55,119
S01007511,675,233,294,0,15,58,75
S01007512,449,112,242,0,12,40,43
S01007513,825,296,348,1,28,91,61
S01007514,445,145,198,1,15,55,31
S01007515,519,109,313,0,8,34,55
S01007516,475,157,191,6,11,60,50
S01007517,426,100,220,1,9,27,69
S01007518,699,206,342,2,11,66,72
S01007519,406,90,256,2,9,26,23
S01007520,810,182,453,4,19,69,83
S01007521,380,96,216,1,12,28,27
S01007522,868,211,428,3,23,77,126
S01007523,457,130,232,4,8,40,43
S01007524,818,195,480,4,21,58,60
S01007525,465,102,266,1,6,32,58
S01007526,633,203,256,0,12,80,82
S01007527,679,143,388,0,11,73,64
S01007528,633,206,269,3,13,69,73
S01007529,582,116,373,0,9,35,49
S01007530,446,117,269,0,5,29,26
S01007531,581,151,318,0,17,45,50
S01007532,480,123,272,2,12,43,28
S01007533,471,105,273,0,13,39,41
S01007534,790,209,389,0,21,86,85
S01007535,862,255,415,2,35,80,75
S01007536,783,267,348,0,24,68,76
S01007537,906,263,410,1,28,92,112
S01007538,760,179,438,0,16,60,67
S01007539,584,109,362,4,6,33,70
S01007540,722,172,352,4,16,80,98
S01007541,672,130,368,1,16,49,108
S01007542,712,239,300,2,34,63,74
S01007543,869,272,401,2,23,110,61
S01007544,930,175,574,2,18,67,94
S01007545,682,142,402,0,13,63,62
S01007546,458,95,317,0,5,18,23
S01007547,459,122,253,0,15,40,29
S01007548,578,161,313,0,13,46,45
S01007549,519,107,304,0,5,49,54
S01007550,789,167,448,0,24,69,81
S01007551,766,189,451,2,15,53,56
S01007552,737,250,355,0,24,49,59
S01007553,709,205,363,2,18,57,64
S01007554,371,133,160,1,9,28,40
S01007555,446,112,259,0,5,25,45
S01007556,439,127,194,0,13,30,75
S01007557,899,286,446,0,30,60,77
S01007558,366,86,224,0,10,32,14
S01007559,591,166,319,0,20,47,39
S01007560,796,190,417,0,19,63,107
S01007561,640,168,310,0,11,53,98
S01007562,688,182,383,2,26,57,38
S01007563,729,165,413,5,25,53,68
S01007564,652,174,380,1,7,44,46
S01007565,794,198,460,1,15,53,67
S01007566,603,164,367,2,16,25,29
S01007567,483,110,317,0,14,23,19
S01007568,550,124,326,0,22,36,42
S01007569,698,178,388,0,12,49,71
S01007570,567,139,329,3,12,42,42
S01007571,465,106,275,3,3,40,38
S01007572,788,194,405,2,18,56,113
S01007573,646,171,386,0,23,51,15
S01007574,820,284,348,0,26,84,78
S01007575,704,238,260,0,20,99,87
S01007576,542,261,139,1,17,77,47
S01007577,527,232,165,0,15,75,40
S01007578,540,223,174,0,18,65,60
S01007579,495,212,149,0,27,75,32
S01007580,638,271,223,0,20,71,53
S01007581,392,158,156,2,8,40,28
S01007582,533,208,207,0,14,62,42
S01007583,833,383,241,0,41,103,65
S01007584,493,178,192,4,15,58,46
S01007585,811,178,449,0,14,55,115
S01007586,670,250,274,0,22,75,49
S01007587,732,247,311,3,31,70,70
S01007588,711,158,418,0,16,42,77
S01007589,679,279,254,4,21,58,63
S01007590,539,110,328,0,14,17,70
S01007591,490,172,212,0,14,53,39
S01007592,580,250,185,0,27,70,48
S01007593,922,240,502,4,25,64,87
S01007594,712,165,413,0,11,40,83
S01007595,901,244,515,0,15,68,59
S01007596,483,116,251,1,11,54,50
S01007597,529,128,322,1,12,37,29
S01007598,551,143,326,2,12,37,31
S01007599,697,224,361,2,16,62,32
S01007600,952,278,449,0,21,91,113
S01007601,526,196,238,0,23,51,18
S01007602,528,145,303,0,13,34,33
S01007603,646,178,411,0,6,28,23
S01007604,760,162,480,0,11,46,61
S01007605,713,172,422,0,16,52,51
S01007606,522,171,247,0,10,46,48
S01007607,590,132,379,0,10,32,37
S01007608,640,157,361,1,23,35,63
S01007609,738,288,274,3,23,97,53
S01007610,450,168,145,0,13,61,63
S01007611,795,345,231,3,30,91,95
S01007612,938,486,227,3,41,118,63
S01007613,662,232,300,2,21,54,53
S01007614,695,139,441,0,12,52,51
S01007615,881,277,423,4,27,73,77
S01007616,610,254,205,2,15,74,60
S01007617,441,138,212,0,6,43,42
S01007618,517,138,240,0,14,45,80
S01007619,518,169,248,0,6,43,52
S01007620,507,126,297,0,8,35,41
S01007621,558,135,325,0,9,39,50
S01007622,471,142,220,1,10,39,59
S01007623,510,117,316,3,10,28,36
S01007624,539,151,302,0,11,43,32
S01007625,431,112,234,0,8,44,33
S01007626,501,144,274,6,11,46,20
S01007627,445,134,219,3,6,34,49
S01007628,605,131,384,0,10,32,48
S01007629,578,126,356,5,16,36,39
S01007630,696,169,406,0,8,60,53
S01007631,518,93,334,0,9,45,37
S01007632,803,234,413,2,19,65,70
S01007633,822,204,451,0,20,67,80
S01007634,485,121,288,0,7,40,29
S01007635,649,133,386,0,5,32,93
S01007636,743,225,308,0,14,77,119
S01007637,703,227,314,2,15,80,65
S01007638,653,212,291,0,24,62,64
S01007639,846,302,386,2,21,87,48
S01007640,600,177,346,2,8,43,24
S01007641,679,191,361,0,18,60,49
S01007642,718,169,361,0,19,67,102
S01007643,761,207,392,0,20,54,88
S01007644,698,175,390,0,10,61,62
S01007645,449,106,280,0,10,29,24
S01007646,534,162,277,0,11,51,33
S01007647,620,177,301,0,14,68,60
S01007648,743,200,380,1,25,66,71
S01007649,620,177,326,0,12,46,59
S01007650,827,206,469,4,19,55,74
S01007651,475,125,276,2,15,24,33
S01007652,503,128,271,2,4,43,55
S01007653,758,202,410,2,15,64,65
S01007654,907,252,467,3,38,79,68
S01007655,663,150,393,1,15,61,43
S01007656,716,193,426,4,10,37,46
S01007657,360,87,202,2,10,38,21
S01007658,429,99,227,2,12,43,46
S01007659,667,177,357,0,15,57,61
S01007660,680,247,267,0,29,84,53
S01007661,564,170,242,2,26,67,57
S01007662,775,225,327,2,24,90,107
S01007663,725,177,396,2,14,71,65
S01007664,485,147,193,0,17,65,63
S01007665,502,164,230,0,14,55,39
S01007666,415,87,258,0,7,27,36
S01007667,586,133,377,0,4,39,33
S01007668,879,293,370,0,24,86,106
S01007669,480,192,181,1,20,59,27
S01007670,539,202,215,0,21,59,42
S01007671,623,151,371,0,9,40,52
S01007672,770,127,520,0,11,32,80
S01007673,586,135,339,0,8,58,46
S01007674,665,187,334,2,28,60,54
S01007675,525,112,347,0,6,40,20
S01007676,573,127,352,0,10,44,40
S01007677,412,108,238,0,10,30,26
S01007678,668,193,296,0,21,75,83
S01007679,683,219,311,0,26,65,62
S01007680,783,180,485,0,19,36,63
S01007681,365,97,180,0,5,35,48
S01007682,766,225,429,1,20,51,40
S01007683,584,206,307,2,10,31,28
S01007684,694,160,436,0,13,22,63
S01007685,801,395,326,0,13,32,35
S01007686,591,224,277,0,12,34,44
S01007687,776,438,234,3,6,53,42
S01007688,930,665,172,2,15,58,18
S01007689,559,362,107,1,4,35,50
S01007690,822,632,118,2,10,41,19
S01007691,2819,2553,158,0,25,61,22
S01007692,865,692,99,2,13,30,29
S01007693,931,816,61,0,16,30,8
S01007694,1011,774,107,2,29,60,39
S01007695,894,474,208,2,27,89,94
S01007696,719,521,102,2,21,41,32
S01007697,886,483,200,0,32,84,87
S01007698,984,698,152,0,26,68,40
S01007699,691,467,130,0,21,47,26
S01007700,858,324,390,3,17,67,57
S01007701,492,345,48,0,19,62,18
S01007702,963,837,90,0,9,23,4
S01007703,696,320,237,2,18,62,57
S01007704,799,511,115,2,27,102,42
S01007705,735,677,27,2,12,14,3
S01007706,757,689,36,0,9,21,2
S01007707,766,535,163,1,26,38,3
S01007708,550,325,119,0,19,60,27
S01007709,530,323,89,0,17,59,42
S01007710,741,513,124,2,19,75,8
S01007711,980,637,182,0,24,89,48
S01007712,631,422,104,2,19,52,32
S01007713,417,215,114,0,17,44,27
S01007714,547,222,202,0,32,62,29
S01007715,434,230,110,0,12,49,33
S01007716,943,520,181,0,36,102,104
S01007717,840,420,183,1,56,138,42
S01007718,633,315,139,0,19,98,62
S01007719,880,408,175,4,51,144,98
S01007720,647,218,241,0,26,79,83
S01007721,646,295,163,0,28,97,63
S01007722,733,338,172,2,36,118,67
S01007723,851,354,203,0,42,129,123
S01007724,528,322,108,0,21,58,19
S01007725,690,384,121,1,38,93,53
S01007726,677,370,162,5,32,75,33
S01007727,876,523,157,2,37,112,45
S01007728,684,439,128,1,30,73,13
S01007729,664,375,151,2,25,90,21
S01007730,674,451,119,1,28,57,18
S01007731,615,343,147,2,31,66,26
S01007732,594,356,124,0,23,69,22
S01007733,685,221,375,0,9,47,33
S01007734,725,183,411,4,19,46,62
S01007735,716,189,400,0,23,54,50
S01007736,618,208,310,0,16,47,37
S01007737,887,296,358,0,28,103,102
S01007738,626,167,315,3,20,48,73
S01007739,541,150,209,0,13,65,104
S01007740,497,145,220,0,16,50,66
S01007741,658,196,244,0,21,93,104
S01007742,552,175,213,0,21,62,81
S01007743,724,317,237,0,24,84,62
S01007744,617,248,186,0,29,75,79
S01007745,583,246,139,0,32,85,81
S01007746,720,283,280,2,26,90,39
S01007747,417,160,160,0,22,45,30
S01007748,543,254,137,0,28,82,42
S01007749,583,123,376,0,19,31,34
S01007750,720,148,425,3,17,39,88
S01007751,676,128,385,2,13,47,101
S01007752,658,116,329,0,11,53,149
S01007753,416,166,145,0,19,55,31
S01007754,690,277,215,4,29,91,74
S01007755,676,258,239,2,15,77,85
S01007756,481,162,180,0,30,51,58
S01007757,718,143,460,1,9,34,71
S01007758,791,169,444,6,20,61,91
S01007759,869,332,238,2,53,121,123
S01007760,518,97,299,2,10,44,66
S01007761,727,165,423,0,20,65,54
S01007762,729,233,247,0,40,82,127
S01007763,483,118,184,0,21,58,102
S01007764,634,170,368,2,18,35,41
S01007765,568,98,359,0,14,43,54
S01007766,777,166,488,0,14,43,66
S01007767,762,166,458,0,23,55,60
S01007768,572,178,230,0,24,74,66
S01007769,641,135,392,0,5,48,61
S01007770,613,139,371,2,17,37,47
S01007771,450,77,300,0,9,17,47
S01007772,846,304,312,0,33,91,106
S01007773,642,116,433,0,14,39,40
S01007774,681,165,421,0,32,50,13
S01007775,755,172,398,2,19,52,112
S01007776,561,149,332,0,17,34,29
S01007777,671,186,408,2,14,49,12
S01007778,372,89,235,2,9,22,15
S01007779,608,173,335,0,29,40,31
S01007780,649,223,327,2,29,43,25
S01007781,736,264,367,1,25,56,23
S01007782,375,174,127,0,25,31,18
S01007783,637,238,223,2,28,82,64
S01007784,531,220,232,0,24,41,14
S01007785,438,209,100,0,27,62,40
S01007786,612,190,272,0,22,61,67
S01007787,522,174,239,1,19,52,37
S01007788,466,246,116,0,30,61,13
S01007789,459,237,145,0,18,44,15
S01007790,560,311,133,2,38,62,14
S01007791,400,103,208,0,12,36,41
S01007792,709,232,333,0,26,66,52
S01007793,724,267,220,2,38,111,86
S01007794,448,170,199,0,15,36,28
S01007795,458,155,200,0,10,58,35
S01007796,528,205,212,0,23,57,31
S01007797,406,169,136,0,16,54,31
S01007798,494,180,245,0,15,39,15
S01007799,430,134,242,0,17,33,4
S01007800,720,311,248,0,29,62,70
S01007801,799,427,183,1,43,80,65
S01007802,403,137,203,0,16,40,7
S01007803,808,351,209,0,49,117,82
S01007804,452,233,117,0,25,55,22
S01007805,366,183,100,0,27,33,23
S01007806,520,175,227,0,16,58,44
S01007807,548,174,290,0,20,37,27
S01007808,635,261,268,0,23,55,28
S01007809,790,200,458,0,16,39,77
S01007810,690,255,276,0,26,60,73
S01007811,638,267,243,2,21,57,48
S01007812,589,277,194,0,30,64,24
S01007813,580,229,218,0,32,64,37
S01007814,468,155,217,0,14,42,40
S01007815,808,216,434,0,9,54,95
S01007816,558,153,330,0,14,24,37
S01007817,393,108,188,1,9,38,49
S01007818,607,177,333,4,19,36,38
S01007819,675,200,328,2,15,60,70
S01007820,808,275,364,0,29,65,75
S01007821,469,147,219,2,15,50,36
S01007822,634,150,348,1,25,37,73
S01007823,611,196,308,0,14,42,51
S01007824,632,160,318,0,16,58,80
S01007825,876,246,458,0,11,67,94
S01007826,465,180,146,2,21,60,56
S01007827,495,225,182,0,15,54,19
S01007828,889,404,213,2,34,109,127
S01007829,539,158,206,0,13,62,100
S01007830,818,325,243,2,32,105,111
S01007831,742,335,218,0,30,87,72
S01007832,551,248,167,2,19,60,55
S01007833,731,168,330,2,23,75,133
S01007834,625,336,158,0,17,80,34
S01007835,580,198,252,0,23,55,52
S01007836,468,150,206,1,16,38,57
S01007837,695,147,418,2,14,46,68
S01007838,738,186,415,0,18,54,65
S01007839,651,250,234,0,19,45,103
S01007840,647,291,204,1,19,78,54
S01007841,566,241,206,1,13,55,50
S01007842,575,328,136,0,31,57,23
S01007843,578,247,170,1,20,82,58
S01007844,773,391,202,0,31,93,56
S01007845,669,304,205,0,26,80,54
S01007846,576,198,229,3,22,57,67
S01007847,737,308,248,4,36,75,66
S01007848,643,301,129,4,37,114,58
S01007849,688,289,251,0,24,83,41
S01007850,615,243,232,0,23,54,63
S01007851,811,204,362,0,20,74,151
S01007852,540,268,161,0,24,60,27
S01007853,576,239,133,1,26,99,78
S01007854,891,410,226,2,44,111,98
S01007855,428,212,81,0,29,70,36
S01007856,674,242,299,1,25,59,48
S01007857,384,178,104,2,14,53,33
S01007858,879,312,266,4,32,137,128
S01007859,389,175,98,2,24,60,30
S01007860,445,178,187,4,10,54,12
S01007861,533,190,241,0,20,49,33
S01007862,575,202,240,2,29,47,55
