"DZ_CODE","unmarriedPCTZscore","livingalonePCTZscore","rentedPCTZscore","movedPCTZscore","SFI","LAname"
"S01001050",-0.81,-0.676809858142237,1.19658413842378,-0.233629838065336,-0.614432655942333,"Dumfries and Galloway"
"S01001051",-0.05,0.0419816215354732,-0.639659713725853,-0.93708280029039,0.532303946798388,"Dumfries and Galloway"
"S01001052",-0.17,-0.45184709811006,-0.121744781068263,-0.433591200083435,3.76282815219313,"Dumfries and Galloway"
"S01001053",-0.98,-0.821760323549474,-0.0592000203097528,-0.484481318774243,1.03051223885232,"Dumfries and Galloway"
"S01001054",-0.39,-0.735517862825904,0.304713376507361,-0.545002315288237,-0.339204740522224,"Dumfries and Galloway"
"S01001055",0.31,0.0909641825061155,-0.155672363555191,-0.103568645231162,0.412324165878719,"Dumfries and Galloway"
"S01001056",0.04,-0.124967429348425,0.063529321556003,0.0769652815040533,-0.386291685743722,"Dumfries and Galloway"
"S01001057",-0.57,-1.17307378803768,1.64671395432039,-0.0684277576969929,-0.68097397721558,"Dumfries and Galloway"
"S01001058",0.08,-0.0370346570862941,-0.0500693521146464,0.397071342909091,0.155109439430775,"Dumfries and Galloway"
"S01001059",0.31,-0.185344542727241,-0.469295626056303,-0.349052845291285,0.11087276441944,"Dumfries and Galloway"
"S01001060",0.01,-0.270686547875457,-0.236905912790453,0.0332546971266851,1.18133457321995,"Dumfries and Galloway"
"S01001061",-0.51,-0.601420889860863,0.645679120140473,-0.178870547090095,0.103325674360969,"Dumfries and Galloway"
"S01001062",-1.47,-1.37796832694716,0.51836531598124,-0.317487517450826,0.04599515902332,"Dumfries and Galloway"
"S01001063",-1.04,-1.24194482985045,-0.114380654636992,0.0598807770391113,-0.849299048448931,"Dumfries and Galloway"
"S01001064",-0.21,-0.206394466430477,0.482372948089552,-0.0263763190577782,0.0368755467802429,"Dumfries and Galloway"
"S01001065",-0.26,-0.300271721425102,1.30732611762354,-0.0342430847896042,-0.0946400023057729,"Dumfries and Galloway"
"S01001066",-0.93,-0.754446486376326,0.96015645613098,-0.34925573124448,-1.05034464181556,"Dumfries and Galloway"
